artist_action,existing_artist_id,artist_name,legal_name_if_different,instruments,stint_start,stint_end,start_year,start_month,start_day,end_year,end_month,end_day,source_name,source_date_token
CREATE_NEW,,Don Stover,,banjo,1957,1957,1957,,,1957,,,"Stover, Don",1957
CREATE_NEW,,Jack Cooke,,"guitar, bass",1958,1959,1958,,,1959,,,"Cooke, Jack",1958-1959
CREATE_NEW,,Charlie Smith,,fiddle,1958,1960,1958,,,1960,,,"Smith, Charlie",1958-1960
CREATE_NEW,,Eddie Adcock,,banjo,4/1958,6/23/1958,1958,4,,1958,6,23,"Adcock, Eddie",4/1958-6/23/1958
CREATE_NEW,,Tony Ellis,,"banjo, bass, guitar",1/1960,6/1962,1960,1,,1962,6,,"Ellis, Tony",1/1960-6/1962
CREATE_NEW,,Billy Baker,,fiddle,1961,1961,1961,,,1961,,,"Baker, Billy","1961, 6/1963-8/1963, 12/1963-2/1964"
CREATE_NEW,,Billy Baker,,fiddle,6/1963,8/1963,1963,6,,1963,8,,"Baker, Billy","1961, 6/1963-8/1963, 12/1963-2/1964"
CREATE_NEW,,Billy Baker,,fiddle,12/1963,2/1964,1963,12,,1964,2,,"Baker, Billy","1961, 6/1963-8/1963, 12/1963-2/1964"
CREATE_NEW,,Jimmy Maynard,,guitar,1961,1961,1961,,,1961,,,"Maynard, Jimmy","1961, 1962, 1964"
CREATE_NEW,,Jimmy Maynard,,guitar,1962,1962,1962,,,1962,,,"Maynard, Jimmy","1961, 1962, 1964"
CREATE_NEW,,Jimmy Maynard,,guitar,1964,1964,1964,,,1964,,,"Maynard, Jimmy","1961, 1962, 1964"
CREATE_NEW,,Lonnie Hoppers,,"banjo, guitar",9/1962,1/1963,1962,9,,1963,1,,"Hoppers, Lonnie",9/1962-1/1963
REUSE_EXISTING,33,Del McCoury,,"guitar, banjo",2/1963,2/1964,1963,2,,1964,2,,"McCoury, Del",2/1963-2/1964
REUSE_EXISTING,49,Bill Keith,,banjo,3/1963,12/1963,1963,3,,1963,12,,"Keith, Bill ""Brad""",3/1963-12/1963
CREATE_NEW,,Steve Arkin,,banjo,1964,1964,1964,,,1964,,,"Arkin, Steve",1964
CREATE_NEW,,James Monroe,,"guitar, bass",1964,1971,1964,,,1971,,,"Monroe, James",1964-1971
REUSE_EXISTING,37,Peter Rowan,,guitar,10/1964,3/1/1967,1964,10,,1967,3,1,"Rowan, Peter",10/1964-3/1/1967
CREATE_NEW,,Gene Lowinger,,fiddle,6/5/1965,2/1966,1965,6,5,1966,2,,"Lowinger, Gene",6/5/1965-2/1966
CREATE_NEW,,Lamar Grier,,banjo,9/1965,6/1967,1965,9,,1967,6,,"Grier, Lamar",9/1965-6/1967
REUSE_EXISTING,30,Richard Greene,,fiddle,2/1966,3/5/1967,1966,2,,1967,3,5,"Greene, Richard",2/1966-3/5/1967
CREATE_NEW,,Byron Berline,,fiddle,3/1967,9/1967,1967,3,,1967,9,,"Berline, Byron",3/1967-9/1967
CREATE_NEW,,Doug Green,,"bass, guitar",4/1967,5/1967,1967,4,,1967,5,,"Green, Doug","4/1967-5/1967, 3/1969-7/1969"
CREATE_NEW,,Doug Green,,"bass, guitar",3/1969,7/1969,1969,3,,1969,7,,"Green, Doug","4/1967-5/1967, 3/1969-7/1969"
REUSE_EXISTING,156,Roland White,,guitar,5/21/1967,2/1969,1967,5,21,1969,2,,"White, Roland",5/21/1967-2/1969
CREATE_NEW,,Butch Robins,,banjo,6/1967,6/1967,1967,6,,1967,6,,"Robins, Butch","6/1967, 9/2/1977-7/3/1981"
CREATE_NEW,,Butch Robins,,banjo,9/2/1977,7/3/1981,1977,9,2,1981,7,3,"Robins, Butch","6/1967, 9/2/1977-7/3/1981"
CREATE_NEW,,Vic Jordan,,banjo,7/27/1967,3/18/1969,1967,7,27,1969,3,18,"Jordan, Vic",7/27/1967-3/18/1969
CREATE_NEW,,Rual Yarbrough,,banjo,3/24/1969,12/1970,1969,3,24,1970,12,,"Yarbrough, Rual",3/24/1969-12/1970
CREATE_NEW,,Doug Hutchens,,"bass, banjo",6/26/1971,9/1971,1971,6,26,1971,9,,"Hutchens, Doug",6/26/1971-9/1971
CREATE_NEW,,Ben Pedigo,,banjo,9/18/1973,11/4/1973,1973,9,18,1973,11,4,"Pedigo, Ben",9/18/1973-11/4/1973
CREATE_NEW,,Randy Davis,,bass,7/1974,6/1979,1974,7,,1979,6,,"Davis, Randy",7/1974-6/1979
CREATE_NEW,,Ralph Lewis,,guitar,7/4/1974,5/1976,1974,7,4,1976,5,,"Lewis, Ralph",7/4/1974-5/1976
CREATE_NEW,,Bob Black,,banjo,9/20/1974,9/19/1976,1974,9,20,1976,9,19,"Black, Bob",9/20/1974-9/19/1976
CREATE_NEW,,Bob Jones,,guitar,2/1976,5/1976,1976,2,,1976,5,,"Jones, Bob",2/1976-5/1976
CREATE_NEW,,Wayne Lewis,,guitar,5/1976,5/1986,1976,5,,1986,5,,"Lewis, Wayne",5/1976-5/1986
CREATE_NEW,,Mark Hembree,,bass,7/16/1979,6/1984,1979,7,16,1984,6,,"Hembree, Mark",7/16/1979-6/1984
CREATE_NEW,,Blake Williams,,banjo,7/1981,1991,1981,7,,1991,,,"Williams, Blake",7/1981-1991
CREATE_NEW,,Tom Ewing,,guitar,5/18/1986,12/31/1988,1986,5,18,1988,12,31,"Ewing, Tom","5/18/1986-12/31/1988, 3/31/1989-1996"
CREATE_NEW,,Tom Ewing,,guitar,3/31/1989,1996,1989,3,31,1996,,,"Ewing, Tom","5/18/1986-12/31/1988, 3/31/1989-1996"
CREATE_NEW,,Jimmy Campbell,,fiddle,1990,1993,1990,,,1993,,,"Campbell, Jimmy",1990-1993
CREATE_NEW,,Dana Cupp,,banjo,1991,1996,1991,,,1996,,,"Cupp, Dana",1991-1996
CREATE_NEW,,Robert Bowlin,,fiddle,1/1993,1996,1993,1,,1996,,,"Bowlin, Robert",1/1993-1996
